Adoption ID,Date,Quantity,Book Id,Book Title,Category
4,12/26/2015,694,912,Fundamentals of Human Resource Management,Business
5,8/1/2015,396,626,Elementary & Intermediate Algebra,Mathematics
6,10/13/2015,273,615,Algebra and Trigonometry with Modeling & Visualization,Mathematics
7,1/4/2016,536,984,E-Commerce 2013,Business
8,7/12/2015,52,698,Global Marketing Management,Business
9,5/19/2015,420,598,Introductory & Intermediate Algebra 3e,Mathematics
10,1/4/2016,631,940,Microeconomics,Economics
11,2/16/2016,324,705,Statics and Mechanics of Materials,Engineering
12,6/29/2015,546,932,Foundations of Finance,Business
13,12/2/2015,281,637,Elementary Statistics Using Excel,Statistics
14,3/1/2016,687,552,The Prentice Hall Guide for College Writers,English
15,10/30/2015,447,891,Marketing Plan Handbook,Business
1,2/15/2016,445,701,Adaptive Filter Theory,Engineering
2,6/6/2015,632,785,"Human Relations for Career and Personal Success: Concepts, Applications, & Skills",Business
3,4/28/2015,503,899,Personal Finance,Business
4,8/5/2015,519,904,International Business,Business
5,4/4/2015,292,608,Basic Technical Mathematics with Calculus,Mathematics
6,12/18/2015,552,784,Mechanics of Materials,Engineering
7,7/26/2015,158,696,Entrepreneurial Finance,Business
8,3/28/2015,407,479,Elementary Statistics,Statistics
9,7/16/2015,182,925,Guide to Managerial Communication,Business
10,7/30/2015,261,783,Fundamentals of Investing,Business
11,3/19/2015,146,475,Java Software Structures,Computer Science
12,1/16/2016,630,474,Starting Out with C++: Early Objects,Computer Science
13,11/13/2015,232,558,"Strategies for Successful Writing, Concise Edition",English
14,11/14/2015,664,624,Precalculus,Mathematics
15,5/24/2015,310,787,Visual Basic 2012 How to Program,Computer Science
16,3/17/2015,168,693,"Network Security Essentials: Applications and Standards, 5/e",Computer Science
17,5/16/2015,476,918,Fundamentals of Futures and Options Markets,Business
18,5/24/2015,250,946,Auditing and Assurance Services,Business
19,9/3/2015,641,572,Mosaics: Reading and Writing Paragraphs,Student Success
20,6/25/2015,190,784,Mechanics of Materials,Engineering
21,9/17/2015,292,567,"Writing and Reading Across the Curriculum, Brief Edition",English
22,8/19/2015,420,707,Managerial Economics,Economics
23,10/23/2015,570,919,MIS Essentials,Business
24,3/5/2016,640,489,Statistics for Business and Economics,Statistics
25,1/1/2016,505,474,Starting Out with C++: Early Objects,Computer Science
26,4/30/2015,210,547,"The Curious Writer, Brief Edition",English
27,5/30/2015,649,608,Basic Technical Mathematics with Calculus,Mathematics
28,1/16/2016,196,792,Managing Engineering and Technology,Engineering
29,10/8/2015,677,594,Elementary Algebra:  Concepts & Applications,Mathematics
30,3/19/2015,53,782,Public Relations Practices,Business
31,3/31/2015,383,937,Microeconomics,Economics
32,10/11/2015,377,943,Modern Systems Analysis and Design,Business
33,6/6/2015,619,940,Microeconomics,Economics
1,10/15/2015,33,964,The Practice of Public Relations,Business
2,9/7/2015,429,477,Starting Out With Visual Basic,Computer Science
3,9/19/2015,643,603,Intro Stats,Statistics
4,8/12/2015,55,550,Literature for Composition,English
5,1/16/2016,318,968,Principles of Microeconomics,Economics
6,10/19/2015,650,596,Precalculus: A Unit Circle Approach,Mathematics
7,3/1/2016,50,489,Statistics for Business and Economics,Statistics
8,5/11/2015,92,564,Read to Achieve: Gateway to Academic Reading,Student Success
9,12/20/2015,113,695,Aerodynamics for Engineers,Engineering
10,2/17/2016,546,952,"Corporate Finance, The Core",Business
11,2/19/2016,231,792,Managing Engineering and Technology,Engineering
12,3/16/2015,604,677,"Macroeconomics, 2/e",Economics
13,12/5/2015,356,911,Economics,Economics
14,11/3/2015,153,973,The Economic Way of Thinking,Economics
15,1/31/2016,569,571,Style: Lessons in Clarity and Grace 11E,English
16,8/22/2015,640,965,QuickBooks Pro 2013: A Complete Course,Business
17,12/6/2015,83,574,Technical Communication,English
18,1/24/2016,435,553,"The Prentice Hall Guide for College Writers, Brief Edition",English
19,9/4/2015,325,477,Starting Out With Visual Basic,Computer Science
20,1/9/2016,217,921,Digital Business Networks,Business
21,2/16/2016,73,487,Business Statistics: A First Course,Statistics
22,7/23/2015,644,644,"Developmental Mathematics: Prealgebra, Beginning, Intermediate Algebra",Mathematics
23,8/23/2015,426,920,Business Communication Essentials,Business
24,6/19/2015,514,474,Starting Out with C++: Early Objects,Computer Science
1,12/7/2015,694,639,An Introduction to Programming Using Visual Basic 2012(w/Visual Studio 2012 Express Edition DVD),Computer Science
2,6/1/2015,560,475,Java Software Structures,Computer Science
3,7/21/2015,90,707,Managerial Economics,Economics
4,12/30/2015,490,706,Introduction to Engineering Analysis,Engineering
5,6/11/2015,460,486,Intermediate Algebra,Mathematics
6,12/2/2015,398,967,Principles of Economics,Economics
7,2/14/2016,83,642,Developmental Mathematics,Mathematics
8,10/10/2015,582,783,Fundamentals of Investing,Business
9,8/21/2015,577,685,Ownership Series: Ownership: Critical Thinking,Student Success
10,6/9/2015,435,636,Trigonometry,Mathematics
11,1/17/2016,447,591,Basic College Mathematics,Mathematics
12,4/27/2015,646,479,Elementary Statistics,Statistics
1,4/14/2015,226,930,Macroeconomics,Economics
2,11/14/2015,30,983,Electronic Commerce 2012,Business
3,3/3/2016,493,952,"Corporate Finance, The Core",Business
1,10/3/2015,141,571,Style: Lessons in Clarity and Grace 11E,English
2,6/30/2015,68,474,Starting Out with C++: Early Objects,Computer Science
3,2/23/2016,547,932,Foundations of Finance,Business
4,4/29/2015,550,475,Java Software Structures,Computer Science
5,7/5/2015,444,571,Style: Lessons in Clarity and Grace 11E,English
6,12/17/2015,656,790,Data Structures and Algorithm Analysis in C++,Computer Science
7,2/16/2016,210,607,Basic Technical Mathematics,Mathematics
8,12/9/2015,690,616,Introductory and Intermediate Algebra 5e,Mathematics
9,10/5/2015,450,979,Development Economics,Economics
10,11/16/2015,149,974,The Economics of Macro Issues,Economics
11,1/15/2016,114,940,Microeconomics,Economics
12,11/14/2015,347,549,Complete Works of Shakespeare 7E,English
13,5/9/2015,537,693,"Network Security Essentials: Applications and Standards, 5/e",Computer Science
14,9/13/2015,517,608,Basic Technical Mathematics with Calculus,Mathematics
15,3/27/2015,176,911,Economics,Economics
16,12/8/2015,530,946,Auditing and Assurance Services,Business
17,1/20/2016,382,909,Management: A Focus on Leaders,Business
18,10/27/2015,127,595,Intermediate Algebra: Concepts & Applications,Mathematics
19,5/12/2015,437,932,Foundations of Finance,Business
20,6/24/2015,58,975,The Economics of Public Issues,Economics
21,2/15/2016,611,624,Precalculus,Mathematics
22,2/17/2016,659,680,Introduction to Programming with C++,Computer Science
23,9/14/2015,202,548,"The Curious Writer, Concise Edition",English
24,1/30/2016,224,636,Trigonometry,Mathematics
25,5/4/2015,310,790,Data Structures and Algorithm Analysis in C++,Computer Science
26,10/9/2015,47,892,Opportunities and Challenges of Workplace Diversity,Business
1,12/4/2015,598,916,Management Information Systems,Business
2,5/31/2015,381,923,Guide to Presentations,Business
3,6/30/2015,309,697,"English for Careers: Business, Professional, and Technical",Business
4,9/8/2015,560,925,Guide to Managerial Communication,Business
5,9/1/2015,274,599,Analysis with an Introduction to Proof,Mathematics
6,9/26/2015,456,943,Modern Systems Analysis and Design,Business
7,2/26/2016,335,568,Reading Rhetorically,English
8,6/24/2015,286,692,Cryptography and Network Security: Principles and Practice,Computer Science
9,11/24/2015,433,676,International Monetary & Financial  Economics,Economics
10,3/6/2016,644,607,Basic Technical Mathematics,Mathematics
11,2/25/2016,34,685,Ownership Series: Ownership: Critical Thinking,Student Success
12,11/28/2015,150,983,Electronic Commerce 2012,Business
13,12/7/2015,272,574,Technical Communication,English
14,1/17/2016,437,488,Statistics for Business: Decision Making and Analysis,Statistics
15,1/28/2016,692,555,"Global Issues, Local Arguments",English
1,3/2/2016,263,591,Basic College Mathematics,Mathematics
2,2/6/2016,65,607,Basic Technical Mathematics,Mathematics
3,8/12/2015,380,926,Environmental Law,Business
4,11/30/2015,552,547,"The Curious Writer, Brief Edition",English
5,10/27/2015,92,707,Managerial Economics,Economics
6,5/15/2015,39,486,Intermediate Algebra,Mathematics
7,2/3/2016,657,628,Business Math Brief,Business
8,2/6/2016,84,897,Introduction to Management Accounting,Business
9,3/21/2015,163,940,Microeconomics,Economics
10,5/9/2015,76,473,Introduction to JavaScript Programming with XML and PHP,Computer Science
11,2/14/2016,76,980,Hands-On Database,Computer Science
12,3/9/2015,90,596,Precalculus: A Unit Circle Approach,Mathematics
13,9/21/2015,545,629,Precalculus: Essentials,Mathematics
14,2/28/2016,72,909,Management: A Focus on Leaders,Business
15,7/1/2015,609,783,Fundamentals of Investing,Business
16,7/15/2015,156,898,Better Business,Business
17,8/10/2015,417,482,Excursions in Modern Mathematics,Mathematics
18,10/23/2015,503,905,Horngren's Accounting,Business
19,6/10/2015,118,915,Experiencing MIS,Business
20,3/19/2015,405,476,Building Java Programs,Computer Science
21,3/29/2015,563,631,World of Short Stories: 20 Short Stories from Around the World,Student Success
22,7/31/2015,369,569,Building College Vocabulary Strategies,Student Success
23,5/2/2015,449,596,Precalculus: A Unit Circle Approach,Mathematics
24,9/22/2015,283,939,Macroeconomics,Economics
25,6/19/2015,374,975,The Economics of Public Issues,Economics
26,4/15/2015,217,905,Horngren's Accounting,Business
27,9/16/2015,609,904,International Business,Business
28,4/17/2015,159,680,Introduction to Programming with C++,Computer Science
29,10/7/2015,111,928,Human Resource Management,Business
1,1/6/2016,337,561,The DK Handbook,Student Success
2,7/1/2015,88,953,Accounting Information Systems: The Crossroads of Accounting and IT 2e,Business
3,8/7/2015,340,648,The DK Guide to Literature,English
4,2/26/2016,403,690,Horngren's Financial & Managerial Accounting. The Financial Chapters,Business
5,5/23/2015,43,618,Bridging the Gap,Student Success
6,10/15/2015,233,616,Introductory and Intermediate Algebra 5e,Mathematics
7,2/2/2016,45,964,The Practice of Public Relations,Business
8,7/6/2015,411,960,Customer Service: Career Success through Customer Loyalty,Business
9,7/21/2015,591,942,Employment Law,Business
10,5/28/2015,304,473,Introduction to JavaScript Programming with XML and PHP,Computer Science
11,7/27/2015,167,947,Operations Management,Business
12,4/10/2015,43,569,Building College Vocabulary Strategies,Student Success
13,8/21/2015,521,594,Elementary Algebra:  Concepts & Applications,Mathematics
14,10/1/2015,619,955,Horngren's Financial & Managerial Accounting,Business
15,2/13/2016,322,974,The Economics of Macro Issues,Economics
16,7/14/2015,687,477,Starting Out With Visual Basic,Computer Science
17,12/17/2015,627,919,MIS Essentials,Business
18,9/8/2015,342,591,Basic College Mathematics,Mathematics
19,4/4/2015,655,603,Intro Stats,Statistics
20,5/7/2015,66,566,Academic Reading,Student Success
21,3/25/2015,111,974,The Economics of Macro Issues,Economics
22,7/5/2015,526,556,Mosaics: Reading and Writing Essays 6e,Student Success
23,2/17/2016,285,964,The Practice of Public Relations,Business
24,9/21/2015,296,704,Fundamentals of Communication Systems,Engineering
25,1/24/2016,143,787,Visual Basic 2012 How to Program,Computer Science
26,6/6/2015,627,684,Ownership Series: Ownership: Effective Planning,Student Success
1,7/8/2015,160,549,Complete Works of Shakespeare 7E,English
2,7/26/2015,205,911,Economics,Economics
3,9/15/2015,96,648,The DK Guide to Literature,English
4,6/6/2015,582,549,Complete Works of Shakespeare 7E,English
5,1/18/2016,446,472,Basics of Web Design: HTML5 & CSS3,Computer Science
6,2/15/2016,433,598,Introductory & Intermediate Algebra 3e,Mathematics
7,5/5/2015,510,923,Guide to Presentations,Business
8,1/13/2016,698,896,Psychology of Investing,Business
9,12/21/2015,82,631,World of Short Stories: 20 Short Stories from Around the World,Student Success
10,12/6/2015,580,688,"Essentials of Processes, Systems and Information: with SAP tutorials",Business
1,1/20/2016,264,652,"Career Adventure: Your Guide to Personal Assessment, Career Exploration, and Decision Making",Student Success
2,5/16/2015,423,590,Mathematics for Business,Business
3,2/2/2016,595,621,Developmental Mathematics through Applications: Basic College Mathematics and Algebra,Mathematics
4,10/2/2015,120,644,"Developmental Mathematics: Prealgebra, Beginning, Intermediate Algebra",Mathematics
5,12/17/2015,451,633,Brief Calculus & Its Applications,Mathematics
6,9/17/2015,270,600,Statistical Reasoning for Everyday Life,Statistics
7,7/14/2015,589,926,Environmental Law,Business
8,10/5/2015,74,914,Using MIS,Business
9,1/10/2016,355,951,Corporate Finance,Business
10,1/15/2016,504,964,The Practice of Public Relations,Business
11,1/13/2016,651,676,International Monetary & Financial  Economics,Economics
12,1/21/2016,669,786,Managerial Accounting: Decision Making and Motivating Performance,Business
13,5/7/2015,392,630,World Myth,English
14,12/21/2015,437,955,Horngren's Financial & Managerial Accounting,Business
15,6/18/2015,218,703,Principles of Macroeconomics,Economics
16,12/3/2015,597,621,Developmental Mathematics through Applications: Basic College Mathematics and Algebra,Mathematics
17,3/8/2015,111,787,Visual Basic 2012 How to Program,Computer Science
18,8/9/2015,62,552,The Prentice Hall Guide for College Writers,English
19,12/23/2015,377,707,Managerial Economics,Economics
20,10/26/2015,350,603,Intro Stats,Statistics
1,2/10/2016,553,677,"Macroeconomics, 2/e",Economics
2,4/10/2015,490,485,Elementary Algebra,Mathematics
3,7/15/2015,459,983,Electronic Commerce 2012,Business
4,7/10/2015,594,483,Mathematics for Elementary Teachers with Activity Manual,Mathematics
5,1/15/2016,165,631,World of Short Stories: 20 Short Stories from Around the World,Student Success
6,1/26/2016,434,951,Corporate Finance,Business
7,1/30/2016,654,593,Prealgebra  5e,Mathematics
8,11/16/2015,343,918,Fundamentals of Futures and Options Markets,Business
9,12/14/2015,293,572,Mosaics: Reading and Writing Paragraphs,Student Success
10,10/2/2015,238,626,Elementary & Intermediate Algebra,Mathematics
11,2/27/2016,486,610,Cornerstones for College Success,Student Success
12,11/3/2015,137,633,Brief Calculus & Its Applications,Mathematics
13,7/14/2015,195,677,"Macroeconomics, 2/e",Economics
14,7/26/2015,29,492,Internetworking with TCP/IP Volume One,Computer Science
15,9/14/2015,236,894,International Economics,Economics
16,8/19/2015,138,973,The Economic Way of Thinking,Economics
17,2/8/2016,297,943,Modern Systems Analysis and Design,Business
18,4/6/2015,647,642,Developmental Mathematics,Mathematics
19,8/14/2015,368,689,"Horngren's Financial & Managerial Accounting, The Managerial Chapters",Business
20,6/13/2015,496,701,Adaptive Filter Theory,Engineering
21,7/24/2015,409,705,Statics and Mechanics of Materials,Engineering
22,1/11/2016,647,604,Calculus and Its Applications Expanded Version,Mathematics
23,8/20/2015,531,592,Essential Math 4e,Mathematics
24,9/19/2015,207,627,Intermediate Algebra 10,Mathematics
25,6/13/2015,495,909,Management: A Focus on Leaders,Business
26,12/28/2015,567,485,Elementary Algebra,Mathematics
1,6/21/2015,604,571,Style: Lessons in Clarity and Grace 11E,English
2,3/14/2015,131,613,Business Math,Business
3,6/4/2015,32,636,Trigonometry,Mathematics
4,5/27/2015,139,928,Human Resource Management,Business
5,12/3/2015,240,572,Mosaics: Reading and Writing Paragraphs,Student Success
6,10/9/2015,513,590,Mathematics for Business,Business
7,11/13/2015,342,789,Machine Design,Engineering
8,7/25/2015,313,474,Starting Out with C++: Early Objects,Computer Science
9,3/31/2015,169,936,Systems Analysis and Design,Business
10,7/3/2015,100,486,Intermediate Algebra,Mathematics
11,12/31/2015,690,637,Elementary Statistics Using Excel,Statistics
12,9/15/2015,356,627,Intermediate Algebra 10,Mathematics
13,7/15/2015,383,935,Economics Today: The Micro View,Economics
14,12/2/2015,682,473,Introduction to JavaScript Programming with XML and PHP,Computer Science
15,6/14/2015,546,587,Algebra and Trigonometry,Mathematics
16,8/8/2015,453,568,Reading Rhetorically,English
17,7/6/2015,461,782,Public Relations Practices,Business
1,12/3/2015,104,626,Elementary & Intermediate Algebra,Mathematics
2,7/22/2015,314,956,Comprehensive Assurance & Systems Tool (CAST): An Integrated Practice Set,Business
3,1/5/2016,516,928,Human Resource Management,Business
4,3/13/2015,65,957,Principles of Risk Management and Insurance,Business
5,9/21/2015,554,686,Ownership Series: Ownership: Study Strategies,Student Success
6,8/7/2015,675,923,Guide to Presentations,Business
7,7/15/2015,410,572,Mosaics: Reading and Writing Paragraphs,Student Success
8,10/20/2015,362,683,Ownership Series: Ownership: Accountability,Student Success
9,7/28/2015,52,922,Management,Business
10,7/18/2015,475,613,Business Math,Business
11,6/20/2015,467,614,Writing for Life: Sentences and Paragraphs,Student Success
12,11/16/2015,353,980,Hands-On Database,Computer Science
13,6/8/2015,455,627,Intermediate Algebra 10,Mathematics
14,1/20/2016,433,594,Elementary Algebra:  Concepts & Applications,Mathematics
15,8/5/2015,168,905,Horngren's Accounting,Business
16,12/9/2015,170,698,Global Marketing Management,Business
17,8/28/2015,89,682,Essentials of Entrepreneurship and Small Business Management,Business
18,10/21/2015,183,682,Essentials of Entrepreneurship and Small Business Management,Business
19,5/15/2015,638,550,Literature for Composition,English
20,11/19/2015,62,678,Marketing Research,Business
1,1/5/2016,33,690,Horngren's Financial & Managerial Accounting. The Financial Chapters,Business
2,7/23/2015,127,922,Management,Business
3,7/7/2015,422,893,Manager's Bookshelf,Business
4,8/10/2015,622,638,C++ How to Program (Early Objects Version),Computer Science
5,6/23/2015,482,925,Guide to Managerial Communication,Business
6,9/24/2015,199,958,Macroeconomics,Economics
7,10/20/2015,506,546,The Curious Writer,English
8,1/20/2016,230,486,Intermediate Algebra,Mathematics
9,12/27/2015,566,690,Horngren's Financial & Managerial Accounting. The Financial Chapters,Business
10,12/27/2015,52,981,Business Intelligence,Business
11,5/26/2015,173,551,Literature and the Writing Process,English
12,5/16/2015,577,632,Elementary and Intermediate Algebra: Concepts & Applications,Mathematics
13,9/28/2015,394,927,International Management: Text and Cases,Business
14,9/28/2015,477,486,Intermediate Algebra,Mathematics
15,10/30/2015,403,627,Intermediate Algebra 10,Mathematics
16,5/18/2015,564,599,Analysis with an Introduction to Proof,Mathematics
17,8/26/2015,536,924,The Economics of Sports,Economics
18,11/10/2015,64,976,"The Economics of Women, Men and Work",Economics
19,7/18/2015,303,951,Corporate Finance,Business
20,9/1/2015,491,564,Read to Achieve: Gateway to Academic Reading,Student Success
21,7/5/2015,452,919,MIS Essentials,Business
22,7/1/2015,498,553,"The Prentice Hall Guide for College Writers, Brief Edition",English
23,12/25/2015,232,583,John E. Freund's Mathematical Statistics with Applications,Statistics
24,5/7/2015,136,633,Brief Calculus & Its Applications,Mathematics
25,11/21/2015,290,627,Intermediate Algebra 10,Mathematics
26,4/2/2015,494,914,Using MIS,Business
27,11/17/2015,347,567,"Writing and Reading Across the Curriculum, Brief Edition",English
28,3/7/2015,526,590,Mathematics for Business,Business
1,9/14/2015,51,610,Cornerstones for College Success,Student Success
2,4/7/2015,212,704,Fundamentals of Communication Systems,Engineering
3,3/22/2015,165,686,Ownership Series: Ownership: Study Strategies,Student Success
4,12/24/2015,61,642,Developmental Mathematics,Mathematics
5,3/31/2015,333,784,Mechanics of Materials,Engineering
6,10/31/2015,666,636,Trigonometry,Mathematics
7,11/26/2015,154,949,Macroeconomics,Economics
8,6/8/2015,533,696,Entrepreneurial Finance,Business
9,3/1/2016,455,957,Principles of Risk Management and Insurance,Business
10,2/23/2016,300,909,Management: A Focus on Leaders,Business
11,8/9/2015,31,583,John E. Freund's Mathematical Statistics with Applications,Statistics
12,2/3/2016,483,607,Basic Technical Mathematics,Mathematics
13,7/1/2015,276,959,Introduction to Financial Accounting,Business
14,9/26/2015,115,563,The Necessary Shakespeare,English
15,11/25/2015,348,909,Management: A Focus on Leaders,Business
1,5/28/2015,295,785,"Human Relations for Career and Personal Success: Concepts, Applications, & Skills",Business
2,3/20/2015,292,609,"Writing for Life: Paragraphs and Essays, 3E",Student Success
3,3/9/2015,349,701,Adaptive Filter Theory,Engineering
4,9/1/2015,87,692,Cryptography and Network Security: Principles and Practice,Computer Science
5,7/22/2015,202,705,Statics and Mechanics of Materials,Engineering
6,9/21/2015,222,918,Fundamentals of Futures and Options Markets,Business
7,12/1/2015,40,569,Building College Vocabulary Strategies,Student Success
8,5/18/2015,105,549,Complete Works of Shakespeare 7E,English
9,6/1/2015,445,949,Macroeconomics,Economics
10,9/12/2015,279,595,Intermediate Algebra: Concepts & Applications,Mathematics
11,10/6/2015,207,793,Reliability Engineering,Engineering
12,6/22/2015,535,947,Operations Management,Business
13,11/13/2015,564,607,Basic Technical Mathematics,Mathematics
14,1/2/2016,407,688,"Essentials of Processes, Systems and Information: with SAP tutorials",Business
15,3/23/2015,560,976,"The Economics of Women, Men and Work",Economics
16,10/13/2015,298,614,Writing for Life: Sentences and Paragraphs,Student Success
17,10/8/2015,685,608,Basic Technical Mathematics with Calculus,Mathematics
18,4/2/2015,487,550,Literature for Composition,English
19,2/12/2016,42,590,Mathematics for Business,Business
20,7/3/2015,512,791,Essentials of Database Management,Computer Science
21,1/26/2016,597,968,Principles of Microeconomics,Economics
22,8/29/2015,528,979,Development Economics,Economics
23,7/26/2015,583,563,The Necessary Shakespeare,English
24,4/6/2015,248,564,Read to Achieve: Gateway to Academic Reading,Student Success
25,6/25/2015,43,607,Basic Technical Mathematics,Mathematics
26,2/27/2016,397,622,"Prealgebra and Introductory Algebra, 4e",Mathematics
27,5/25/2015,494,474,Starting Out with C++: Early Objects,Computer Science
28,12/8/2015,643,556,Mosaics: Reading and Writing Essays 6e,Student Success
29,12/12/2015,447,895,Intercultural Business Communication,Business
30,12/23/2015,344,950,"Money, Banking, and the Financial System",Economics
1,1/8/2016,27,689,"Horngren's Financial & Managerial Accounting, The Managerial Chapters",Business
2,6/24/2015,215,599,Analysis with an Introduction to Proof,Mathematics
3,6/11/2015,417,600,Statistical Reasoning for Everyday Life,Statistics
4,4/15/2015,420,970,E-Marketing,Business
5,9/18/2015,65,964,The Practice of Public Relations,Business
6,10/27/2015,632,914,Using MIS,Business
7,10/5/2015,140,477,Starting Out With Visual Basic,Computer Science
8,9/9/2015,25,690,Horngren's Financial & Managerial Accounting. The Financial Chapters,Business
9,5/6/2015,305,687,Introduction to Materials Science,Engineering
10,1/12/2016,479,478,Starting out with Visual C# 2012 (with CD-Rom),Computer Science
11,4/30/2015,383,678,Marketing Research,Business
12,12/1/2015,610,559,The Blair Reader,English
13,6/4/2015,597,892,Opportunities and Challenges of Workplace Diversity,Business
14,9/12/2015,634,930,Macroeconomics,Economics
15,1/22/2016,551,980,Hands-On Database,Computer Science
16,7/23/2015,645,925,Guide to Managerial Communication,Business
17,9/19/2015,181,693,"Network Security Essentials: Applications and Standards, 5/e",Computer Science
18,12/10/2015,488,893,Manager's Bookshelf,Business
19,7/21/2015,113,567,"Writing and Reading Across the Curriculum, Brief Edition",English
20,10/4/2015,129,477,Starting Out With Visual Basic,Computer Science
21,2/22/2016,628,486,Intermediate Algebra,Mathematics
22,1/17/2016,639,559,The Blair Reader,English
23,6/25/2015,423,473,Introduction to JavaScript Programming with XML and PHP,Computer Science
24,2/8/2016,435,488,Statistics for Business: Decision Making and Analysis,Statistics
25,4/28/2015,592,706,Introduction to Engineering Analysis,Engineering
26,4/7/2015,261,923,Guide to Presentations,Business
27,9/22/2015,198,643,Engineering Vibration,Engineering
28,7/5/2015,267,623,Precalculus Essentials,Mathematics
29,3/24/2015,227,911,Economics,Economics
30,3/12/2015,83,959,Introduction to Financial Accounting,Business
31,9/24/2015,679,616,Introductory and Intermediate Algebra 5e,Mathematics
32,8/17/2015,363,621,Developmental Mathematics through Applications: Basic College Mathematics and Algebra,Mathematics
33,8/12/2015,282,914,Using MIS,Business
34,5/13/2015,438,571,Style: Lessons in Clarity and Grace 11E,English
1,8/23/2015,280,894,International Economics,Economics
2,11/22/2015,164,891,Marketing Plan Handbook,Business
3,10/13/2015,471,485,Elementary Algebra,Mathematics
1,12/2/2015,667,566,Academic Reading,Student Success
2,10/6/2015,610,558,"Strategies for Successful Writing, Concise Edition",English
3,3/30/2015,311,972,Making the Team,Business
4,2/14/2016,334,690,Horngren's Financial & Managerial Accounting. The Financial Chapters,Business
5,12/8/2015,118,933,Economics Today,Economics
6,5/18/2015,176,629,Precalculus: Essentials,Mathematics
